Changes_from_v4_x.x_Update_to_v4.0.0,New_Row_Number,File_Segment_Number,File_Segment_Name,System_Data_Element_Number,Data_Element_Number,Data_Element_Name_Computing,Pipe_Separated_Value_Segment_Data_Element_Order,Size,Fixed_Length_Field_Start_Position,Fixed_Length_Field_Stop_Position,Notes-Changesfromv4.x.xUpdatetov4.0.0,file_name
NONE,476,CLT00004,CLAIM-DX-LT,CLT.004.268,CLT268,RECORD-ID,1,X(8),1,8,,CLAIMLT
NONE,477,CLT00004,CLAIM-DX-LT,CLT.004.269,CLT269,SUBMITTING-STATE,2,X(2),9,10,,CLAIMLT
NONE,478,CLT00004,CLAIM-DX-LT,CLT.004.270,CLT270,RECORD-NUMBER,3,9(11),11,21,,CLAIMLT
NONE,479,CLT00004,CLAIM-DX-LT,CLT.004.271,CLT271,ICN-ORIG,4,X(50),22,71,,CLAIMLT
NONE,480,CLT00004,CLAIM-DX-LT,CLT.004.272,CLT272,ICN-ADJ,5,X(50),72,121,,CLAIMLT
NONE,481,CLT00004,CLAIM-DX-LT,CLT.004.273,CLT273,ADJUSTMENT-IND,6,X(1),122,122,,CLAIMLT
NONE,482,CLT00004,CLAIM-DX-LT,CLT.004.274,CLT274,ADJUDICATION-DATE,7,9(8),123,130,,CLAIMLT
NONE,483,CLT00004,CLAIM-DX-LT,CLT.004.275,CLT275,DIAGNOSIS-TYPE,8,X(1),131,131,,CLAIMLT
NONE,484,CLT00004,CLAIM-DX-LT,CLT.004.276,CLT276,DIAGNOSIS-SEQUENCE-NUMBER,9,9(2),132,133,,CLAIMLT
NONE,485,CLT00004,CLAIM-DX-LT,CLT.004.277,CLT277,DIAGNOSIS-CODE-FLAG,10,X(1),134,134,,CLAIMLT
NONE,486,CLT00004,CLAIM-DX-LT,CLT.004.278,CLT278,DIAGNOSIS-CODE,11,X(7),135,141,,CLAIMLT
NONE,487,CLT00004,CLAIM-DX-LT,CLT.004.279,CLT279,DIAGNOSIS-POA-FLAG,12,X(1),142,142,,CLAIMLT
NONE,488,CLT00004,CLAIM-DX-LT,CLT.004.280,CLT280,STATE-NOTATION,13,X(500),143,642,,CLAIMLT
NONE,489,CLT00004,CLAIM-DX-LT,CLT.004.281,CLT281,FILLER,14,X(1558),643,2200,,CLAIMLT
NONE,490,COT00001,FILE-HEADER-RECORD-OT,COT.001.001,COT001,RECORD-ID,1,X(8),1,8,,CLAIMOT
NONE,491,COT00001,FILE-HEADER-RECORD-OT,COT.001.002,COT002,DATA-DICTIONARY-VERSION,2,X(10),9,18,,CLAIMOT
NONE,492,COT00001,FILE-HEADER-RECORD-OT,COT.001.003,COT003,SUBMISSION-TRANSACTION-TYPE,3,X(1),19,19,,CLAIMOT
NONE,493,COT00001,FILE-HEADER-RECORD-OT,COT.001.004,COT004,FILE-ENCODING-SPECIFICATION,4,X(3),20,22,,CLAIMOT
NONE,494,COT00001,FILE-HEADER-RECORD-OT,COT.001.005,COT005,DATA-MAPPING-DOCUMENT-VERSION,5,X(9),23,31,,CLAIMOT
NONE,495,COT00001,FILE-HEADER-RECORD-OT,COT.001.006,COT006,FILE-NAME,6,X(8),32,39,,CLAIMOT
NONE,496,COT00001,FILE-HEADER-RECORD-OT,COT.001.007,COT007,SUBMITTING-STATE,7,X(2),40,41,,CLAIMOT
NONE,497,COT00001,FILE-HEADER-RECORD-OT,COT.001.008,COT008,DATE-FILE-CREATED,8,9(8),42,49,,CLAIMOT
NONE,498,COT00001,FILE-HEADER-RECORD-OT,COT.001.009,COT009,START-OF-TIME-PERIOD,9,9(8),50,57,,CLAIMOT
NONE,499,COT00001,FILE-HEADER-RECORD-OT,COT.001.010,COT010,END-OF-TIME-PERIOD,10,9(8),58,65,,CLAIMOT
NONE,500,COT00001,FILE-HEADER-RECORD-OT,COT.001.011,COT011,FILE-STATUS-INDICATOR,11,X(1),66,66,,CLAIMOT
NONE,501,COT00001,FILE-HEADER-RECORD-OT,COT.001.012,COT012,SSN-INDICATOR,12,X(1),67,67,,CLAIMOT
NONE,502,COT00001,FILE-HEADER-RECORD-OT,COT.001.013,COT013,TOT-REC-CNT,13,9(11),68,78,,CLAIMOT
NONE,503,COT00001,FILE-HEADER-RECORD-OT,COT.001.216,COT216,SEQUENCE-NUMBER,14,X(4),79,82,,CLAIMOT
NONE,504,COT00001,FILE-HEADER-RECORD-OT,COT.001.014,COT014,STATE-NOTATION,15,X(500),83,582,,CLAIMOT
NONE,505,COT00001,FILE-HEADER-RECORD-OT,COT.001.015,COT015,FILLER,16,X(1518),583,2100,,CLAIMOT
NONE,506,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.016,COT016,RECORD-ID,1,X(8),1,8,,CLAIMOT
NONE,507,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.017,COT017,SUBMITTING-STATE,2,X(2),9,10,,CLAIMOT
NONE,508,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.018,COT018,RECORD-NUMBER,3,9(11),11,21,,CLAIMOT
NONE,509,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.019,COT019,ICN-ORIG,4,X(50),22,71,,CLAIMOT
NONE,510,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.020,COT020,ICN-ADJ,5,X(50),72,121,,CLAIMOT
NONE,511,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.021,COT021,SUBMITTER-ID,6,X(12),122,133,,CLAIMOT
NONE,512,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.022,COT022,MSIS-IDENTIFICATION-NUM,7,X(20),134,153,,CLAIMOT
NONE,513,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.023,COT023,CROSSOVER-INDICATOR,8,X(1),154,154,,CLAIMOT
NONE,514,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.024,COT024,1115A-DEMONSTRATION-IND,9,X(1),155,155,,CLAIMOT
NONE,515,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.025,COT025,ADJUSTMENT-IND,10,X(1),156,156,,CLAIMOT
NONE,516,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.026,COT026,ADJUSTMENT-REASON-CODE,11,X(3),157,159,,CLAIMOT
NONE,517,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.033,COT033,BEGINNING-DATE-OF-SERVICE,12,9(8),160,167,,CLAIMOT
NONE,518,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.034,COT034,ENDING-DATE-OF-SERVICE,13,9(8),168,175,,CLAIMOT
NONE,519,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.035,COT035,ADJUDICATION-DATE,14,9(8),176,183,,CLAIMOT
NONE,520,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.036,COT036,MEDICAID-PAID-DATE,15,9(8),184,191,,CLAIMOT
NONE,521,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.037,COT037,TYPE-OF-CLAIM,16,X(1),192,192,,CLAIMOT
NONE,522,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.038,COT038,TYPE-OF-BILL,17,X(4),193,196,,CLAIMOT
NONE,523,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.039,COT039,CLAIM-STATUS,18,X(3),197,199,,CLAIMOT
NONE,524,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.040,COT040,CLAIM-STATUS-CATEGORY,19,X(3),200,202,,CLAIMOT
NONE,525,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.041,COT041,SOURCE-LOCATION,20,X(2),203,204,,CLAIMOT
NONE,526,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.042,COT042,CHECK-NUM,21,X(15),205,219,,CLAIMOT
NONE,527,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.043,COT043,CHECK-EFF-DATE,22,9(8),220,227,,CLAIMOT
NONE,528,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.044,COT044,CLAIM-PYMT-REM-CODE-1,23,X(5),228,232,,CLAIMOT
NONE,529,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.045,COT045,CLAIM-PYMT-REM-CODE-2,24,X(5),233,237,,CLAIMOT
NONE,530,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.046,COT046,CLAIM-PYMT-REM-CODE-3,25,X(5),238,242,,CLAIMOT
NONE,531,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.047,COT047,CLAIM-PYMT-REM-CODE-4,26,X(5),243,247,,CLAIMOT
NONE,532,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.048,COT048,TOT-BILLED-AMT,27,S9(11)V99,248,260,,CLAIMOT
NONE,533,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.049,COT049,TOT-ALLOWED-AMT,28,S9(11)V99,261,273,,CLAIMOT
NONE,534,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.050,COT050,TOT-MEDICAID-PAID-AMT,29,S9(11)V99,274,286,,CLAIMOT
NONE,535,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.052,COT052,TOT-MEDICARE-DEDUCTIBLE-AMT,30,S9(11)V99,287,299,,CLAIMOT
NONE,536,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.053,COT053,TOT-MEDICARE-COINS-AMT,31,S9(11)V99,300,312,,CLAIMOT
NONE,537,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.054,COT054,TOT-TPL-AMT,32,S9(11)V99,313,325,,CLAIMOT
NONE,538,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.056,COT056,TOT-OTHER-INSURANCE-AMT,33,S9(11)V99,326,338,,CLAIMOT
NONE,539,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.057,COT057,OTHER-INSURANCE-IND,34,X(1),339,339,,CLAIMOT
NONE,540,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.058,COT058,OTHER-TPL-COLLECTION,35,X(3),340,342,,CLAIMOT
NONE,541,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.061,COT061,FIXED-PAYMENT-IND,36,X(1),343,343,,CLAIMOT
NONE,542,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.062,COT062,FUNDING-CODE,37,X(2),344,345,,CLAIMOT
NONE,543,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.063,COT063,FUNDING-SOURCE-NONFEDERAL-SHARE,38,X(2),346,347,,CLAIMOT
NONE,544,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.064,COT064,MEDICARE-COMB-DED-IND,39,X(1),348,348,,CLAIMOT
NONE,545,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.065,COT065,PROGRAM-TYPE,40,X(2),349,350,,CLAIMOT
NONE,546,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.066,COT066,PLAN-ID-NUMBER,41,X(12),351,362,,CLAIMOT
NONE,547,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.068,COT068,PAYMENT-LEVEL-IND,42,X(1),363,363,,CLAIMOT
NONE,548,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.069,COT069,MEDICARE-REIM-TYPE,43,X(2),364,365,,CLAIMOT
NONE,549,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.070,COT070,CLAIM-LINE-COUNT,44,9(4),366,369,,CLAIMOT
NONE,550,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.072,COT072,FORCED-CLAIM-IND,45,X(1),370,370,,CLAIMOT
NONE,551,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.073,COT073,HEALTH-CARE-ACQUIRED-CONDITION-IND,46,X(1),371,371,,CLAIMOT
NONE,552,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.074,COT074,OCCURRENCE-CODE-01,47,X(2),372,373,,CLAIMOT
NONE,553,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.075,COT075,OCCURRENCE-CODE-02,48,X(2),374,375,,CLAIMOT
NONE,554,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.076,COT076,OCCURRENCE-CODE-03,49,X(2),376,377,,CLAIMOT
NONE,555,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.077,COT077,OCCURRENCE-CODE-04,50,X(2),378,379,,CLAIMOT
NONE,556,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.078,COT078,OCCURRENCE-CODE-05,51,X(2),380,381,,CLAIMOT
NONE,557,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.079,COT079,OCCURRENCE-CODE-06,52,X(2),382,383,,CLAIMOT
NONE,558,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.080,COT080,OCCURRENCE-CODE-07,53,X(2),384,385,,CLAIMOT
NONE,559,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.081,COT081,OCCURRENCE-CODE-08,54,X(2),386,387,,CLAIMOT
NONE,560,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.082,COT082,OCCURRENCE-CODE-09,55,X(2),388,389,,CLAIMOT
NONE,561,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.083,COT083,OCCURRENCE-CODE-10,56,X(2),390,391,,CLAIMOT
NONE,562,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.084,COT084,OCCURRENCE-CODE-EFF-DATE-01,57,9(8),392,399,,CLAIMOT
NONE,563,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.085,COT085,OCCURRENCE-CODE-EFF-DATE-02,58,9(8),400,407,,CLAIMOT
NONE,564,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.086,COT086,OCCURRENCE-CODE-EFF-DATE-03,59,9(8),408,415,,CLAIMOT
NONE,565,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.087,COT087,OCCURRENCE-CODE-EFF-DATE-04,60,9(8),416,423,,CLAIMOT
NONE,566,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.088,COT088,OCCURRENCE-CODE-EFF-DATE-05,61,9(8),424,431,,CLAIMOT
NONE,567,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.089,COT089,OCCURRENCE-CODE-EFF-DATE-06,62,9(8),432,439,,CLAIMOT
NONE,568,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.090,COT090,OCCURRENCE-CODE-EFF-DATE-07,63,9(8),440,447,,CLAIMOT
NONE,569,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.091,COT091,OCCURRENCE-CODE-EFF-DATE-08,64,9(8),448,455,,CLAIMOT
NONE,570,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.092,COT092,OCCURRENCE-CODE-EFF-DATE-09,65,9(8),456,463,,CLAIMOT
NONE,571,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.093,COT093,OCCURRENCE-CODE-EFF-DATE-10,66,9(8),464,471,,CLAIMOT
NONE,572,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.094,COT094,OCCURRENCE-CODE-END-DATE-01,67,9(8),472,479,,CLAIMOT
NONE,573,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.095,COT095,OCCURRENCE-CODE-END-DATE-02,68,9(8),480,487,,CLAIMOT
NONE,574,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.096,COT096,OCCURRENCE-CODE-END-DATE-03,69,9(8),488,495,,CLAIMOT
NONE,575,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.097,COT097,OCCURRENCE-CODE-END-DATE-04,70,9(8),496,503,,CLAIMOT
NONE,576,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.098,COT098,OCCURRENCE-CODE-END-DATE-05,71,9(8),504,511,,CLAIMOT
NONE,577,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.099,COT099,OCCURRENCE-CODE-END-DATE-06,72,9(8),512,519,,CLAIMOT
NONE,578,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.100,COT100,OCCURRENCE-CODE-END-DATE-07,73,9(8),520,527,,CLAIMOT
NONE,579,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.101,COT101,OCCURRENCE-CODE-END-DATE-08,74,9(8),528,535,,CLAIMOT
NONE,580,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.102,COT102,OCCURRENCE-CODE-END-DATE-09,75,9(8),536,543,,CLAIMOT
NONE,581,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.103,COT103,OCCURRENCE-CODE-END-DATE-10,76,9(8),544,551,,CLAIMOT
NONE,582,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.104,COT104,PATIENT-CONTROL-NUM,77,X(20),552,571,,CLAIMOT
NONE,583,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.105,COT105,ELIGIBLE-LAST-NAME,78,X(30),572,601,,CLAIMOT
NONE,584,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.106,COT106,ELIGIBLE-FIRST-NAME,79,X(30),602,631,,CLAIMOT
NONE,585,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.107,COT107,ELIGIBLE-MIDDLE-INIT,80,X(1),632,632,,CLAIMOT
NONE,586,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.108,COT108,DATE-OF-BIRTH,81,9(8),633,640,,CLAIMOT
NONE,587,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.109,COT109,HEALTH-HOME-PROV-IND,82,X(1),641,641,,CLAIMOT
NONE,588,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.110,COT110,WAIVER-TYPE,83,X(2),642,643,,CLAIMOT
NONE,589,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.111,COT111,WAIVER-ID,84,X(20),644,663,,CLAIMOT
NONE,590,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.112,COT112,BILLING-PROV-NUM,85,X(30),664,693,,CLAIMOT
NONE,591,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.113,COT113,BILLING-PROV-NPI-NUM,86,X(10),694,703,,CLAIMOT
NONE,592,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.114,COT114,BILLING-PROV-TAXONOMY,87,X(12),704,715,,CLAIMOT
NONE,593,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.115,COT115,BILLING-PROV-TYPE,88,X(2),716,717,,CLAIMOT
NONE,594,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.116,COT116,BILLING-PROV-SPECIALTY,89,X(2),718,719,,CLAIMOT
NONE,595,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.117,COT117,REFERRING-PROV-NUM,90,X(30),720,749,,CLAIMOT
NONE,596,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.118,COT118,REFERRING-PROV-NPI-NUM,91,X(10),750,759,,CLAIMOT
NONE,597,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.122,COT122,MEDICARE-HIC-NUM,92,X(12),760,771,,CLAIMOT
NONE,598,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.123,COT123,PLACE-OF-SERVICE,93,X(2),772,773,,CLAIMOT
NONE,599,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.126,COT126,REMITTANCE-NUM,94,X(30),774,803,,CLAIMOT
NONE,600,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.127,COT127,DAILY-RATE,95,S9(5)V99,804,810,,CLAIMOT
NONE,601,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.128,COT128,BORDER-STATE-IND,96,X(1),811,811,,CLAIMOT
NONE,602,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.130,COT130,TOT-BENEFICIARY-COINSURANCE-PAID-AMOUNT,97,S9(11)V99,812,824,,CLAIMOT
NONE,603,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.131,COT131,BENEFICIARY-COINSURANCE-DATE-PAID,98,9(8),825,832,,CLAIMOT
NONE,604,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.132,COT132,TOT-BENEFICIARY-COPAYMENT-PAID-AMOUNT,99,S9(11)V99,833,845,,CLAIMOT
NONE,605,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.133,COT133,BENEFICIARY-COPAYMENT-DATE-PAID,100,9(8),846,853,,CLAIMOT
NONE,606,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.134,COT134,TOT-BENEFICIARY-DEDUCTIBLE-PAID-AMOUNT,101,S9(11)V99,854,866,,CLAIMOT
NONE,607,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.135,COT135,BENEFICIARY-DEDUCTIBLE-DATE-PAID,102,9(8),867,874,,CLAIMOT
NONE,608,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.136,COT136,CLAIM-DENIED-INDICATOR,103,X(1),875,875,,CLAIMOT
NONE,609,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.137,COT137,COPAY-WAIVED-IND,104,X(1),876,876,,CLAIMOT
NONE,610,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.138,COT138,HEALTH-HOME-ENTITY-NAME,105,X(50),877,926,,CLAIMOT
NONE,611,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.140,COT140,THIRD-PARTY-COINSURANCE-AMOUNT-PAID,106,S9(11)V99,927,939,,CLAIMOT
NONE,612,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.141,COT141,THIRD-PARTY-COINSURANCE-DATE-PAID,107,9(8),940,947,,CLAIMOT
NONE,613,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.142,COT142,THIRD-PARTY-COPAYMENT-AMOUNT-PAID,108,S9(11)V99,948,960,,CLAIMOT
NONE,614,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.143,COT143,THIRD-PARTY-COPAYMENT-DATE-PAID,109,9(8),961,968,,CLAIMOT
NONE,615,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.146,COT146,HEALTH-HOME-PROVIDER-NPI,110,X(10),969,978,,CLAIMOT
NONE,616,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.147,COT147,MEDICARE-BENEFICIARY-IDENTIFIER,111,X(12),979,990,,CLAIMOT
NONE,617,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.226,COT226,PROV-LOCATION-ID,112,X(5),991,995,,CLAIMOT
NONE,618,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.230,COT230,TOT-BENEFICIARY-COPAYMENT-LIABLE-AMOUNT,113,S9(11)V99,996,1008,,CLAIMOT
NONE,619,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.231,COT231,TOT-BENEFICIARY-COINSURANCE-LIABLE-AMOUNT,114,S9(11)V99,1009,1021,,CLAIMOT
NONE,620,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.232,COT232,TOT-BENEFICIARY-DEDUCTIBLE-LIABLE-AMOUNT,115,S9(11)V99,1022,1034,,CLAIMOT
NONE,621,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.233,COT233,COMBINED-BENE-COST-SHARING-PAID-AMOUNT,116,S9(11)V99,1035,1047,,CLAIMOT
NONE,622,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.235,COT235,LTC-RCP-LIAB-AMT,117,S9(11)V99,1048,1060,,CLAIMOT
NONE,623,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.236,COT236,BILLING-PROV-ADDR-LN-1,118,X(60),1061,1120,,CLAIMOT
NONE,624,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.237,COT237,BILLING-PROV-ADDR-LN-2,119,X(60),1121,1180,,CLAIMOT
NONE,625,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.238,COT238,BILLING-PROV-CITY,120,X(28),1181,1208,,CLAIMOT
NONE,626,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.239,COT239,BILLING-PROV-STATE,121,X(2),1209,1210,,CLAIMOT
NONE,627,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.240,COT240,BILLING-PROV-ZIP-CODE,122,X(9),1211,1219,,CLAIMOT
NONE,628,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.241,COT241,SERVICE-FACILITY-LOCATION-ORG-NPI,123,X(10),1220,1229,,CLAIMOT
NONE,629,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.242,COT242,SERVICE-FACILITY-LOCATION-ADDR-LN-1,124,X(60),1230,1289,,CLAIMOT
NONE,630,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.243,COT243,SERVICE-FACILITY-LOCATION-ADDR-LN-2,125,X(60),1290,1349,,CLAIMOT
NONE,631,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.244,COT244,SERVICE-FACILITY-LOCATION-CITY,126,X(28),1350,1377,,CLAIMOT
NONE,632,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.245,COT245,SERVICE-FACILITY-LOCATION-STATE,127,X(2),1378,1379,,CLAIMOT
NONE,633,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.246,COT246,SERVICE-FACILITY-LOCATION-ZIP-CODE,128,X(9),1380,1388,,CLAIMOT
NONE,634,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.247,COT247,PROVIDER-CLAIM-FORM-CODE,129,X(2),1389,1390,,CLAIMOT
NONE,635,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.248,COT248,PROVIDER-CLAIM-FORM-OTHER-TEXT,130,X(50),1391,1440,,CLAIMOT
NONE,636,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.249,COT249,TOT-GME-AMOUNT-PAID,131,S9(11)V99,1441,1453,,CLAIMOT
NONE,637,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.250,COT250,REFERRING-PROV-NUM-2,132,X(30),1454,1483,,CLAIMOT
NONE,638,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.251,COT251,REFERRING-PROV-NPI-NUM-2,133,X(10),1484,1493,,CLAIMOT
NONE,639,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.252,COT252,TOT-SDP-ALLOWED-AMT,134,S9(11)V99,1494,1506,,CLAIMOT
NONE,640,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.253,COT253,TOT-SDP-PAID-AMT,135,S9(11)V99,1507,1519,,CLAIMOT
NONE,641,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.152,COT152,STATE-NOTATION,136,X(500),1520,2019,,CLAIMOT
NONE,642,COT00002,CLAIM-HEADER-RECORD-OT,COT.002.153,COT153,FILLER,137,X(81),2020,2100,,CLAIMOT
NONE,643,COT00003,CLAIM-LINE-RECORD-OT,COT.003.154,COT154,RECORD-ID,1,X(8),1,8,,CLAIMOT
NONE,644,COT00003,CLAIM-LINE-RECORD-OT,COT.003.155,COT155,SUBMITTING-STATE,2,X(2),9,10,,CLAIMOT
NONE,645,COT00003,CLAIM-LINE-RECORD-OT,COT.003.156,COT156,RECORD-NUMBER,3,9(11),11,21,,CLAIMOT
NONE,646,COT00003,CLAIM-LINE-RECORD-OT,COT.003.157,COT157,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,CLAIMOT
NONE,647,COT00003,CLAIM-LINE-RECORD-OT,COT.003.158,COT158,ICN-ORIG,5,X(50),42,91,,CLAIMOT
NONE,648,COT00003,CLAIM-LINE-RECORD-OT,COT.003.159,COT159,ICN-ADJ,6,X(50),92,141,,CLAIMOT
NONE,649,COT00003,CLAIM-LINE-RECORD-OT,COT.003.160,COT160,LINE-NUM-ORIG,7,X(3),142,144,,CLAIMOT
NONE,650,COT00003,CLAIM-LINE-RECORD-OT,COT.003.161,COT161,LINE-NUM-ADJ,8,X(3),145,147,,CLAIMOT
NONE,651,COT00003,CLAIM-LINE-RECORD-OT,COT.003.162,COT162,LINE-ADJUSTMENT-IND,9,X(1),148,148,,CLAIMOT
NONE,652,COT00003,CLAIM-LINE-RECORD-OT,COT.003.163,COT163,LINE-ADJUSTMENT-REASON-CODE,10,X(3),149,151,,CLAIMOT
NONE,653,COT00003,CLAIM-LINE-RECORD-OT,COT.003.164,COT164,SUBMITTER-ID,11,X(12),152,163,,CLAIMOT
