Source,Source File,Table Name,Column Name,Column Alias (Common Name),Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Percision,Comment,Valid Values,Logic,Column Order,Gap,Findings,Linage Source System,Linage State Table Mapping,Lineage State Field Mapping 
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTADDRESSLINE1,,Street address of the client,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTADDRESSLINE2,,Second line of the street address of the client,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTCITY,,City of the client,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTEMAILADDRESS,,Email address of the client,nvarchar, xxx@yyy.zzz,,,,,,,,,64,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTFIRSTNAME,,First name of the client,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTLASTNAME,,Last name of the client,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTPHONE,,Phone number of the client,nvarchar,##########,,,,,,,,,10,,,8084767878,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTPHONETYPE,,Phone number type of the client (work phone/Home phone etc.),nvarchar,,,,,,,,,,12,,,,"Business, Home, Mobile, Other",,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTSTATE,,State name/ state code of the client,nvarchar,2 char standard US state abbreviation.,,,,,,,,,2,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTTYPE,,Client contact type,nvarchar,,,,,,,,,,12,,,,"Family, Other",,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCONTACTZIP,,Zip code of the client,nvarchar,"9-digit primary address zip code. If additional 4 digits is not known, zeros padded.",,,,,,,,,9,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCOORDINATOREMAIL,,Email address of the client coordinator,nvarchar, xxx@yyy.zzz,,,,,,,,,64,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_ADDR,CLIENTCOUNTY,,County corresponding to the address where the client resides/receives services,nvarchar,,,,,,,,,,25,,,"08, MOLOKAI, .....",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTCUSTOMID,,Additional client user-defined identifier. Commonly used to customize the built-in client ID within the system. May be equal to another ID provided.,nvarchar,RULES: Client Medicaid ID. Must be 10 digits; including leading zeros. HAWAII ID.,,,,,,,,,24,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEEEMAIL,,The email address of the person the individual receiving the services has designated as their EOR (employer of record),nvarchar,,,,,,,,,,50,,,N/A,DATA NOT PROVIDED,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEEENDDATE,,End date of the person the individual receiving the services has designated as their EOR (employer of record),date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEEFIRSTNAME,,First name of the person the individual receiving the services has designated as their EOR (employer of record),nvarchar,,,,,,,,,,30,,,,DATA NOT PROVIDED,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEELASTNAME,,Last name of the person the individual receiving the services has designated as their EOR (employer of record),nvarchar,,,,,,,,,,30,,,,DATA NOT PROVIDED,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEERELATIONSHIP,,Refers to the relationship to the person the individual receiving services has designated as their EOR (employer of record),nvarchar,,,,,,,,,,30,,,"OTHER, PARENT, ....",DATA NOT PROVIDED,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEESTARTDATE,,Start date of the person the individual receiving the services has designated as their EOR (employer of record),date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_DESIGNEE,CLIENTDESIGNEESTATUS,,The active status of the person the individual receiving the services has designated as their EOR (employer of record),nvarchar,,,,,,,,,,2,,,,"02, 04",,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CLIENTELIGIBILITYDATEBEGIN,,Date when the client became eligible for services,date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CLIENTELIGIBILITYDATEEND,,Last date when the client became eligible for services,date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTEMAIL,,Email address of the client,nvarchar, xxx@yyy.zzz,,,,,,,,,64,,,"JOHNNYPAYCHECK@HOTMAIL.COM, ....",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_AUTH,CLIENTENDOFCAREDATE,,End of Care Date.,date,YYYY-MM-DD,,,,,,,,,,,,"JAN 7, 2013",Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTFIRSTNAME,,First name of the client ,nvarchar,,,,,,,,,,30,,,,Live Data Transmitted,,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
EVV,EVV,T_EVV_CLIENT_GENERAL,CLIENTGENDER,,Gender of the client,nvarchar,,,,,,,,,,1,,,,"O, M, F",,,N,Hawaii Med-QUEST CMS EVV KPIs 2022 Q1.pdf,,,
